,question,answer,contexts,ground_truth
116,when is the next tangled the series episode coming out,No answer,"['Tangled: The Series is an American animated television series developed by Chris Sonnenburg and Shane Pigmore and produced by Disney Television Animation that premiered on Disney Channel as a Disney Channel Original Movie titled Tangled: Before Ever After on March 10, 2017, with regular episodes premiering on March 24, 2017. The series is based on the 2010 film Tangled and features the returning voices of Zachary Levi and Mandy Moore, alongside Eden Espinosa, Clancy Brown, and Julie Bowen. In February 2017, the series was renewed for a second season ahead of the series premiere.\nContents']",No answer
117,what causes cracked skin at the corners of your mouth,"Cracked skin at the corners of your mouth, known as angular cheilitis, can be caused by infection, irritation, or allergies. It often involves redness, swelling, and breakdown of skin at the corners of the mouth. Herpes simplex infections can also cause similar symptoms. Treatment depends on the cause and may include barrier creams.","['. In some cases, the lesion may be confined to the mucosa of the lips, and in other cases the lesion may extend past the vermilion border (the edge where the lining on the lips becomes the skin on the face) onto the facial skin. Initially, the corners of the mouth develop a gray-white thickening and adjacent erythema (redness).[2] Later, the usual appearance is a roughly triangular area of erythema, edema (swelling) and breakdown of skin at either corner of the mouth.[2][4] The mucosa of the lip may become fissured (cracked), crusted, ulcerated or atrophied', 'Duration\nDays to years[2]\nCauses\nInfection, irritation, allergies[2]\nTreatment\nBased on cause, barrier cream[2]\nFrequency\n0.7% of the population[3]\nAngular cheilitis (AC), is inflammation of one or both corners of the mouth.[4][5] Often the corners are red with skin breakdown and crusting.[2] It can also be itchy or painful.[2] The condition can last for days to years.[2] Angular cheilitis is a type of cheilitis (inflammation of the lips).[6]', 'A lesion caused by recurrence of a latent herpes simplex infection can occur in the corner of the mouth. This is herpes labialis (a cold sore), and is sometimes termed ""angular herpes simplex"".[2] A cold sore at the corner of the mouth behaves similarly to elsewhere on the lips, and follows a pattern of vesicle (blister) formation followed by rupture leaving a crusted sore which resolves in about 7–10 days, and recurs in the same spot periodically, especially during periods of stress']",infection
118,the primary reason for the creation of federal whistleblower statutes was to,"To create federal whistleblower statutes, the primary goal was to protect federal employees and applicants from retaliatory personnel actions due to their disclosures of agency misconduct. [8][9]","['The Whistleblower Protection Act of 1989, Pub.L. 101-12 as amended, is a United States federal law that protects federal whistleblowers who work for the government and report agency misconduct. A federal agency violates the Whistleblower Protection Act if agency authorities take (or threaten to take) retaliatory personnel action against any employee or applicant because of disclosure of information by that employee or applicant', '.""[8] S. 743 would address these problems by restoring the original congressional intent of the WPA to adequately protect whistleblowers, by strengthening the WPA, and by creating new whistleblower protections for intelligence employees and new protections for employees whose security clearance is withdrawn in retaliation for having made legitimate whistleblower disclosures.[9] S. 743 ultimately became Pub.L. 112-199 (S.Rep. 112-155).', 'However, according to a report that the Committee on Homeland Security and Governmental Affairs submitted to accompany S. 743, ""the federal whistleblowers have seen their protections diminish in recent years, largely as a result of a series of decisions by the United States Court of Appeals for the Federal Circuit, which has exclusive jurisdiction over many cases brought under the Whistleblower Protection Act (WPA). Specifically, the Federal Circuit has wrongly accorded a narrow definition to the type of disclosure that qualifies for whistleblower protection', '. Today, the primary mission of OSC is to safeguard the merit system by protecting federal employees and applicants from prohibited personnel practices, especially reprisal for whistleblowing.', 'Whistleblower Protection Act - Wikipedia\n \nWhistleblower Protection Act \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nFor the Act in India, see Whistle Blowers Protection Act, 2011.\nWhistleblower Protection Act\nLong title\nAn Act to amend title 5, United States Code, to strengthen the protections available to Federal employees against prohibited personnel practices, and for other purposes.\nNicknames\nWhistleblower Protection Act of 1989\nEnacted\xa0by\nthe 101st United States Congress\nEffective\nApril 10, 1989\nCitations\nPublic law\n101-12\nStatutes at Large']",No answer
119,alison krauss now that i've found you album,"Alison Krauss's album ""Now That I've Found You"" was released in 1995. It includes the hit song ""Baby, Now That I've Found You,"" which won the Grammy Award for Best Female Country Vocal Performance.","['""Baby, Now That I\'ve Found You""\nReleased: 1995\n""Oh, Atlanta""\nReleased: 1995\nProfessional ratings\nReview scores\nSource\nRating\nAllmusic\n[1]\nRobert Christgau\nA−[2]\nRolling Stone\n[3]\nNow That I\'ve Found You: A Collection is an album by Alison Krauss, released February 7, 1995. It is a retrospective of the early part of Krauss\' recording career. It includes songs that appeared on her solo albums, albums by Alison Krauss & Union Station, and some that appeared on an album by Alison Krauss & the Cox Family. It also contains some new material.', ""Now That I've Found You: A Collection - Wikipedia\n \nNow That I've Found You: A Collection \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nNow That I've Found You: A Collection\nCompilation album by Alison Krauss\nReleased\nFebruary 7, 1995\nGenre\nBluegrass/Country\nLength\n42:31\nLabel\nRounder\nProducer\nAlison Krauss & Union Station\nAlison Krauss chronology\nI Know Who Holds Tomorrow\n(1994)I Know Who Holds Tomorrow1994\nNow That I've Found You: A Collection\n(1995)\nSo Long So Wrong\n(1997)So Long So Wrong1997\nSingles from Now That I've Found You: A Collection"", ""2\nReferences[edit]\nJump up ^ Allmusic review\nJump up ^ Robert Christgau review\nJump up ^ Rolling Stone review\n^ Jump up to: a b Alison Krauss Artist Chart Position at Billboard\nNow That I've Found You for Rounder Records. Retrieved August 28, 2010.\nAlison Krauss bio for CMT.com. Retrieved June 7, 2006.\nNow That I've Found You on Amazon. Retrieved June 7, 2006.\nPreceded\xa0by\nThe Woman in Me\nby Shania Twain\nRPM Country Albums number-one album\nOctober 30 - November 5, 1995\nSucceeded\xa0by\nStarting Over\nby Reba McEntire\n[hide]\nv\nt\ne\nAlison Krauss & Union Station\nAlison Krauss\nBarry Bales\nRon Block"", 'Alison Krauss\nBarry Bales\nRon Block\nJerry Douglas\nDan Tyminski\nJohn Pennell\nJeff White\nBrent Truitt\nMike Harman\nAdam Steffey\nTim Stafford\nStudio albums\nDifferent Strokes\nToo Late to Cry\nTwo Highways\nI\'ve Got That Old Feeling\nEvery Time You Say Goodbye\nI Know Who Holds Tomorrow\nSo Long So Wrong\nForget About It\nNew Favorite\nLonely Runs Both Ways\nPaper Airplane\nWindy City\nCompilation albums\nNow That I\'ve Found You: A Collection\nLive\nA Hundred Miles or More: A Collection\nEssential Alison Krauss\nWith Robert Plant\nRaising Sand\nSingles\n""When You Say Nothing at All""\n""Baby Now That I\'ve Found You""', 'The album features the hit country single ""When You Say Nothing at All"", sold over two million copies earning double platinum RIAA certification. The title single ""Baby, Now That I\'ve Found You"" won the Grammy Award for Best Female Country Vocal Performance and ""When You Say Nothing at All"" was named Single of the Year by the Country Music Association.\nContents\n\xa0[hide]\xa0\n1 Track listing\n2 Personnel\n3 Chart performance\n3.1 Album\n4 References\nTrack listing[edit]\n""Baby, Now That I\'ve Found You"" (Tony Macaulay, John MacLeod) – 3:49\n(Previously Unreleased)\n""Oh, Atlanta"" (Mick Ralphs) – 4:41']",No answer
120,when did the dallas cowboys win their last playoff game,The Dallas Cowboys' last playoff game win occurred in the 1996 season. They won three Super Bowls during this period. No specific date is provided in the context.,"['The franchise has experienced two major periods of continued success in their history. The first period of success came from 1966–1985 when the Cowboys played in the postseason 18 times.[3] During this period, they played in two NFL Championships and five Super Bowls, winning two of them, winning a total of 20 playoff games.[3] The second period of success was between 1991–1996 when the Cowboys captured five straight NFC East Division titles and won three Super Bowls going 11–2 in the postseason.[3]']",2014
121,when was the last time villanova won the ncaa basketball championship,"Villanova last won the NCAA basketball championship on April 2, 2018.","[""On April 4, 2016, the Wildcats won their second NCAA Championship in Men's Basketball, the first time in 31 years. They beat the North Carolina Tar Heels 77-74 off a buzzer-beater shot by Kris Jenkins with 0.5 seconds remaining in regulation. Two years later, on April 2, 2018, Villanova earned its third national championship beating the Michigan Wolverines 79-62.\nWomen's basketball[edit]\nMain article: Villanova Wildcats women's basketball\n600th win""]",2018
122,why did the attack on pearl harbor take place,"The attack on Pearl Harbor took place because Japanese military leadership planned and executed it as part of their strategy to quickly eliminate the United States' Pacific Fleet and gain strategic advantage in World War II. This attack, known as the Hawaii Operation or Operation AI, aimed to neutralize the U.S. naval presence in the Pacific and prevent interference with Japan's expansionist goals in East Asia.","[""Kuril Islands\nShumshu\nSecond Sino-Japanese War\nThe attack on Pearl Harbor was a surprise military strike by the Imperial Japanese Navy Air Service against the United States naval base at Pearl Harbor, Hawaii Territory, on the morning of December 7, 1941. The attack, also known as the Battle of Pearl Harbor,[11] led to the United States' entry into World War II. The Japanese military leadership referred to the attack as the Hawaii Operation and Operation AI,[12][13] and as Operation Z during its planning.[14]"", 'Attack on Pearl Harbor - Wikipedia\n \nAttack on Pearl Harbor \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nCoordinates: 21°22′N 157°57′W\ufeff / \ufeff21.367°N 157.950°W\ufeff / 21.367; -157.950\nAttack on Pearl Harbor\nPart of the Asia and the Pacific Theater of World War II\nPhotograph of Battleship Row taken from a Japanese plane at the beginning of the attack. The explosion in the center is a torpedo strike on USS\xa0West Virginia. Two attacking Japanese planes can be seen: one over USS\xa0Neosho and one over the Naval Yard.\nDate\nDecember\xa07, 1941; 76 years ago\xa0(1941-12-07)', 'Date\nDecember\xa07, 1941; 76 years ago\xa0(1941-12-07)\nLocation\nPrimarily Pearl Harbor, Hawaii Territory, U.S.\nResult\nMajor Japanese tactical victory; precipitated the entrance of the United States into World War II\nSee consequences of the attack on Pearl Harbor\nBelligerents\n\xa0United States\n\xa0Japan\nCommanders and leaders\n ADM Husband E. Kimmel\n LTG Walter Short\n VADM Chūichi Nagumo\n ADM Isoroku Yamamoto\n CDR Mitsuo Fuchida\nStrength\n8 battleships\n8 cruisers\n30 destroyers\n4 submarines\n3 USCG Cutters[nb 1]\n47 other ships[4]\n≈390 aircraft\nMobile Unit:\n6 aircraft carriers\n2 battleships\n2 heavy cruisers', '.[164] On 7 December 1941 (8 December in Asian time zones), Japan attacked British and American holdings with near-simultaneous offensives against Southeast Asia and the Central Pacific.[165] These included an attack on the American fleet at Pearl Harbor, the Philippines, landings in Thailand and Malaya[165] and the battle of Hong Kong.']","as a preventive action to keep the U.S. Pacific Fleet from interfering with military actions that were planned in Southeast Asia against overseas territories of the United Kingdom, the Netherlands, and the United States"
123,where was a time for choosing speech given,"The ""A Time for Choosing"" speech was given in Los Angeles County, California, U.S. on October 27, 1964.","['A Time for Choosing - Wikipedia\n \nA Time for Choosing \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nA"" Time for Choosing Speech""\nPlay media\nIn support of Goldwater, Reagan delivers the address, A Time for Choosing. The speech launches Reagan to national prominence.\nDate\nOctober\xa027,\xa01964\xa0(1964-10-27)\nDuration\n29:33\nLocation\nLos Angeles County, California, U.S.\nAlso known as\n""The Speech""\nType\nTelevised campaign speech\nParticipants\nRonald Reagan\nWebsite\nVideo clip, audio, transcript\nThis article is part of\na series about\nRonald Reagan\nElectoral history', 'Reagan Era\nReagan Award\nv\nt\ne\n""A Time for Choosing"", also known as ""The Speech"", was a speech presented during the 1964 U.S. presidential election campaign by future president Ronald Reagan on behalf of Republican candidate Barry Goldwater. The speech launched Reagan into national prominence.\nContents\n\xa0[hide]\xa0\n1 Background\n2 Aftermath\n3 References\n4 Further reading\n5 External links\nBackground[edit]', 'Many versions of the speech exist, since it was altered over many weeks. Contrary to popular belief, however, the speech was not given at the 1964 Republican National Convention in San Francisco, California as a nomination speech for presidential candidate Senator Barry Goldwater; Richard Nixon gave that nomination speech. Reagan, though he campaigned for Goldwater, did not use ""A Time for Choosing"" until October 27, 1964, when it was part of a pre-recorded television program, Rendezvous with Destiny']","Los Angeles County, California, U.S."
124,when is the last time the philadelphia won the superbowl,The Philadelphia Eagles won the Super Bowl most recently in Super Bowl LII in 2018.,"[""Home fields\nBaker Bowl (1933–1935)\nPhiladelphia Municipal Stadium (1936–1939, 1941)\nConnie Mack Stadium (1940, 1942–1957)\nFranklin Field (1958–1970)\nVeterans Stadium (1971–2002)\nLincoln Financial Field (2003–present)\nThe Philadelphia Eagles are a professional American football franchise based in Philadelphia, Pennsylvania. The Eagles compete in the National Football League (NFL) as a member club of the league's National Football Conference (NFC) East division. They are Super Bowl champions, having won Super Bowl LII, their fourth NFL title, after winning in 1948, 1949, and 1960."", ""Home fields\nBaker Bowl (1933–1935)\nPhiladelphia Municipal Stadium (1936–1939, 1941)\nConnie Mack Stadium (1940, 1942–1957)\nFranklin Field (1958–1970)\nVeterans Stadium (1971–2002)\nLincoln Financial Field (2003–present)\nThe Philadelphia Eagles are a professional American football franchise based in Philadelphia, Pennsylvania. The Eagles compete in the National Football League (NFL) as a member club of the league's National Football Conference (NFC) East division. They are Super Bowl champions, having won Super Bowl LII, their fourth NFL title, after winning in 1948, 1949, and 1960."", ""For the Eagles, with the loss, the city of Philadelphia would not see its first championship since the 76ers swept the 1983 NBA Finals until the next time their city's teams played for a championship, when the Phillies won the 2008 World Series.[14] The Eagles did not return to the Super Bowl until 2017, also with a 13-3 record, and defeating the Falcons and Vikings in the playoffs.\nThe Eagles and the Patriots met again in Super Bowl LII, following the 2017 season, with the Eagles taking their revenge 41–33."", ""For the Eagles, with the loss, the city of Philadelphia would not see its first championship since the 76ers swept the 1983 NBA Finals until the next time their city's teams played for a championship, when the Phillies won the 2008 World Series.[14] The Eagles did not return to the Super Bowl until 2017, also with a 13-3 record, and defeating the Falcons and Vikings in the playoffs.\nThe Eagles and the Patriots met again in Super Bowl LII, following the 2017 season, with the Eagles taking their revenge 41–33.""]","Super Bowl LII,"
125,what type of political system does el salvador have,El Salvador has a presidential representative democratic republic political system.,"['Politics of El Salvador takes place in land a framework of a presidential representative democratic republic, whereby the President of El Salvador is both head of state and head of government, and of an Executive power is exercised by the government.\nLegislative power is vested in both the government and the Legislative Assembly. The Judiciary is independent of the executive and the legislature.\nThe Economist Intelligence Unit has rated El Salvador as ""flawed democracy"" in 2016.[1]\nContents\n\xa0[hide]\xa0\n1 Political culture\n2 Executive branch\n3 Legislative branch\n4 Judicial branch', '3 Legislative branch\n4 Judicial branch\n5 Foreign relations\n6 References\n7 External links\nPolitical culture[edit]\nFurther information: List of political parties in El Salvador and Elections in El Salvador\nEl Salvador has a multi-party system. Two political parties, the Nationalist Republican Alliance (ARENA) and the Farabundo Martí National Liberation Front (FMLN) have tended to dominate elections. ARENA candidates won four consecutive presidential elections until the election of Mauricio Funes of the FMLN in March 2009.', 'Politics of El Salvador - Wikipedia\n \nPolitics of El Salvador \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nEl Salvador\nThis article is part of a series on the\npolitics and government of\nEl Salvador\nConstitution[show]\nConstitutional history\nAbortion law\nLGBT rights\nExecutive[show]\nPresident\nSalvador Sánchez Cerén\nVice President\nÓscar Ortiz\nLegislature[show]\nLegislative Assembly\nPresident: Sigfrido Reyes Morales\nAdministrative divisions[show]\nDepartments\nMunicipalities\nElections[show]\nRecent elections\nPresidential: 2004\n2009\n2014\nLegislative: 2012\n2015\n2018', '1 June 2014\nEl Salvador elects its head of state – the President of El Salvador – directly through a fixed-date general election whose winner is decided by absolute majority. If an absolute majority (50% + 1) is not achieved by any candidate in the first round of a presidential election, then a run-off pool election is conducted 30 days later between the two candidates who obtained the most votes in the first round. The presidential period is five years. Consecutive re-election is not permitted, though previously elected presidents may run for a second, non-consecutive term.']","""flawed democracy"""
126,what is the name of the hyena in lion king,The name of the hyena in The Lion King is Shenzi.,"['Vitani (voiced by Jennifer Lien as a young adult and Lacey Chabert as a cub), a Swahili portmanteau of the words ""Vita"" (""War""), ""Ni"" (""I Am""), and ""Shetani"", is the middle child and only daughter of Zira and Kovu and Nuka\'s sister. Although she has a prominent appearance in The Lion King II: Simba\'s Pride, she makes a cameo appearance in The Lion Guard. As a young adult, Vitani is Zira\'s strongest lieutenant, supporting and acting on her mother\'s violent plans', ""Shenzi (voiced by Whoopi Goldberg in the films and Tress MacNeille in Timon & Pumbaa and Kingdom Hearts II), Banzai (voiced by Cheech Marin in the films and Kingdom Hearts II and Rob Paulsen in Timon & Pumbaa) and Ed (voiced by Jim Cummings) are the three spotted hyenas who make up Scar's henchmen. After Scar promises them that they will have food, the hyenas trigger the wildebeest stampede and chase Simba out of Pride Rock. When Simba returns to Pride Rock, Shenzi and Banzai are defeated by Pumbaa"", 'Jasiri[edit]\n Jasiri in the 2016 series\nJasiri, voiced by Maia Mitchell, is a friendly female spotted hyena who makes her first appearance in the episode ""Never Judge a Hyena By Its Spots."" She is open to making friends with lions. Bold and spunky, Jasiri is able to look past differences and focus on where different species have common ground. Unlike Janja and his clan, she dislikes selfishness and gluttony, and she respects the Circle of Life. She has blue eyes and mauve fur, unlike the other hyenas.\nMakini[edit]']",Shenzi
127,where are the winter olympics and when do they start,"The 2018 Winter Olympics will be held in Pyeongchang County, South Korea. They start on 9 February 2018 and end on 25 February 2018.","[""Concerns and controversies\nClosing ceremony (flag bearers)\nParalympics\nIOC\nKOC\nPOCOG\nv\nt\ne\nThe 2018 Winter Olympics, officially known as the XXIII Olympic Winter Games (French: Les XXIIIèmes Jeux olympiques d'hiver; Hangul:\xa0제23회 동계 올림픽; RR:\xa0Je-isipsamhoe Donggye Ollimpik) and commonly known as PyeongChang 2018[1] ([pʰjʌŋ.tɕʰaŋ]), is a major international multi-sport event scheduled to take place from 9 to 25 February 2018 in Pyeongchang County, South Korea."", '2018 Winter Olympics - Wikipedia\n \n2018 Winter Olympics \nFrom Wikipedia, the free encyclopedia \nThis is the latest accepted revision, reviewed on 9 January 2018.\n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\n""PyeongChang 2018"" redirects here. For the Winter Paralympics, see 2018 Winter Paralympics.\nXXIII Olympic Winter Games\nHost city\nPyeongchang, South Korea\nMotto\nPassion. Connected.\nKorean: 하나된 열정. (Hanadoen Yeoljeong)\nNations participating\n90 (estimated)\nEvents\n102 in 7 sports (15 disciplines)\nOpening ceremony\n9 February (31 days from now)\nClosing ceremony\n25 February\nStadium']","Pyeongchang County, South Korea"
128,what are the requirements of passing national senior certificate,"To pass the National Senior Certificate, a learner must achieve a minimum pass of 30% in the chosen university's language of learning and teaching, and a level 4 or higher in designated subjects such as Accounting, Agricultural Sciences, Business Studies, Dramatic Arts, Economics, Engineering Graphics and Design, and Geography. Additionally, they need to obtain 40% in their home language and 40% in two other subjects, while achieving 30% in three other subjects for a Higher certificate. However, a pass with a Higher certificate does not allow enrollment for a University Degree or Diploma at an institute of higher learning.","['National Senior Certificate - Wikipedia\n \nNational Senior Certificate \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nThis article needs additional citations for verification. Please help improve this article by adding citations to reliable sources. Unsourced material may be challenged and removed. (April 2010) (Learn how and when to remove this template message)', ""University entrance[edit]\nIn addition to minimum grades required in each subject, universities either set their own entrance tests and/or use the National Benchmark Tests (NBT).[4] To study for a bachelor's degree at a South African university requires that the applicant has at least an NSC endorsed by Umalusi, with a pass of 30% in the chosen university's language of learning and teaching, as well as a level 4 or higher in the following list of designated, 19-credit subjects:\nAccounting\nAgricultural Sciences\nBusiness Studies\nDramatic Arts\nEconomics\nEngineering Graphics and Design\nGeography"", 'Subjects are all taken on the same level - there is no higher or standard grade as in the past. There are three pass levels, each with different pass requirements.First is a pass with Higher certificate, one must obtain 40% in home language, 40% in two other subjects and must obtain 30% in three other subjects. A learner who passed matric with higher certificate level, cannot enroll for a University Degree nor a Diploma at an institute of higher learning. The mean mark in any subject is usually about 55']",No answer
129,when does sam realize he is jim in ghost whisperer,"Sam realizes he is Jim when Mel finally tells him about it, although initially he doesn't believe it and thinks Mel needs professional help. (Source: December 5, 2008)","['. Mel finally tells Sam about him being Jim, and he refuses to believe it, instead thinking that Mel needs professional help.', 'December\xa019,\xa02008\xa0(2008-12-19)\n10.18[22]\nWhilst doing work at a house, Jim/Sam hears a car backfire and remembers being shot, which he finds weird, but Mel sees it as a sign of Jim still being in there somewhere. Whilst searching for clues about who he is, he finds an engagement ring Sam was planning on giving his on/off girlfriend, bought a month before his accident. Mel has to unravel the mystery behind a ghost\'s death, since the ghost is convinced she didn\'t abandon her family.\n73\n11\n""Life on the Line""\nEric Laneuville\nChristina M. Kim & Jeannine Renshaw\nJanuary\xa09,\xa02009\xa0(2009-01-09)']",Leap of Faith
130,what kind of guns are allowed in switzerland,"Swiss citizens and foreigners with permanent residence can freely purchase semi-automatic firearms, including pistols, revolvers, rifles, pump guns, lever-action rifles, and self-loading guns (shotguns and rifles).","['Gun laws in Switzerland - Wikipedia\n \nGun laws in Switzerland \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nShooter with SIG 550 ordnance rifle at a Swiss firing range (2007 photograph)\nGun laws\nby country\nOverview\nAustralia\nBrazil\nCanada\nChina\nCzech Republic\nEuropean Union\nFinland\nFrance\nGermany\nHonduras\nItaly\nIreland\nJamaica\nKuwait\nMexico\nNew Zealand\nNorway\nPakistan\nPhilippines\nSouth Africa\nSwitzerland\nUkraine\nUnited Kingdom\nUnited States\nUSSR\nv\nt\ne', 'The legislation is considered liberal[4] and allows the free purchase of semi-automatic, but not fully automatic, firearms by Swiss citizens and foreigners with permanent residence.[note 2][3]\nPermits for concealed carrying in public are issued only extremely restrictively.[note 3][2]\nContents\n\xa0[hide]\xa0\n1 Number of guns in circulation\n2 Regulation\n2.1 Acquisition\n2.1.1 Buying guns\n2.1.2 Buying ammunition\n2.2 Carrying guns\n2.2.1 Conditions for obtaining a Carrying Permit\n2.3 Transporting guns\n2.4 EU Gun Ban\n3 Army-issued arms and ammunition collection\n3.1 Recreational shooting', ""Regulation[edit]\nSwitzerland's Weapons Law (WG, LArm)[2] and Weapons Act (WV, OArm)[3] has been revised to accede to the Schengen Treaty effective 12 December 2008. The Act on Personal Military Equipement (VPAA, OEPM) governs the handling of military equipement, and in particular the handling of personal weapons by military personnel.[10]\nThe law is applied to the following weapons:\nFirearms, such as pistols, revolvers, rifles, pump guns (German: Vorderschaftrepetierer), lever-action rifles, self-loading guns (shotguns and rifles)"", 'In order to purchase most weapons, the purchaser must obtain a weapon acquisition permit (art. 8 WG/LArm). Swiss citizens and foreigners with a C permit over the age of 18 who are not psychiatrically disqualified nor identified as posing security problems, and who have a clean criminal record can request such a permit. Foreigners with the following citizenship are explicitly excluded from the right to possess weapons: Serbia, Bosnia and Herzegovina, Kosovo, Macedonia, Turkey, Sri Lanka, Algeria and Albania', '3.1 Recreational shooting\n4 Gun culture in Switzerland\n5 Firearm-related deaths\n6 See also\n7 Notes and references\n7.1 Notes\n7.2 References\n8 External links\nNumber of guns in circulation[edit]\nSwitzerland thus has a relatively high gun ownership rate. There are no official statistics, and estimates vary considerably. The Small Arms Survey of 2016 placed Swiss gun ownership per capita at 24.45%.[5]']","semi-automatic, but not fully automatic, firearms"
131,where is the crown of thorns starfish located,"The crown-of-thorns starfish, Acanthaster planci, is commonly found on Australia's Great Barrier Reef.","['Binomial name\nAcanthaster planci\n(Linnaeus, 1758)\nThe crown-of-thorns starfish, Acanthaster planci, is a large, multiple-armed starfish that usually preys upon hard, or stony, coral polyps (Scleractinia). The crown-of-thorns starfish receives its name from venomous thorn-like spines that cover its upper surface, resembling the biblical crown of thorns. It is one of the largest starfish in the world.', 'Crown-of-thorns starfish - Wikipedia\n \nCrown-of-thorns starfish \nFrom Wikipedia, the free encyclopedia \n\t\t\t\t\tJump to:\t\t\t\t\tnavigation, \t\t\t\t\tsearch\nCrown-of-thorns starfish\nScientific classification\nKingdom:\nAnimalia\nPhylum:\nEchinodermata\nClass:\nAsteroidea\nOrder:\nValvatida\nFamily:\nAcanthasteridae\nGenus:\nAcanthaster\nSpecies:\nAcanthaster planci\nBinomial name\nAcanthaster planci\n(Linnaeus, 1758)', ""Recent information on crown-of-thorns starfish on Australia's Great Barrier Reef\nControlling crown-of-thorns starfish\nCrown-of-thorn outbreak simulation\nMicrodocs: Crown-of-thorns\nAcanthaster planci expedition 1969 to Eastern Caroline Islands\nAn infographic relating to the crown-of-thorns starfish in the Great Barrier Reef\nCrown of Thorns starfish 1971 Fathom magazine (Australia)\nTaxon identifiers\nWd: Q26634\nADW: Acanthaster_planci\nARKive: acanthaster-planci\nBioLib: 422188\nEoL: 598484\nFossilworks: 100993\nGBIF: 2271208\niNaturalist: 50915\nITIS: 157194\nNCBI: 133434\nWoRMS: 213289""]","perhaps most common in Australia, but can occur at tropical and subtropical latitudes from the Red Sea and the east African coast across the Indian Ocean, and across the Pacific Ocean to the west coast of Central America"
132,where is the host file located in windows server 2008 r2,%SystemRoot%\System32\drivers\etc\hosts,"['Operating System\nVersion(s)\nLocation\nUnix, Unix-like, POSIX\n/etc/hosts[3]\nMicrosoft Windows\n3.1\n%WinDir%\\HOSTS\n95, 98, ME\n%WinDir%\\hosts[4]\nNT, 2000, XP,[5] 2003, Vista,\n2008, 7, 2012, 8, 10\n%SystemRoot%\\System32\\drivers\\etc\\hosts[6]\nWindows Mobile, Windows Phone\nRegistry key under HKEY_LOCAL_MACHINE\\Comm\\Tcpip\\Hosts\nApple Macintosh\n9 and earlier\nPreferences or System folder\nMac OS X 10.0–10.1.5[7]\n(Added through NetInfo or niload)\nMac OS X 10.2 and newer\n/etc/hosts (a symbolic link to /private/etc/hosts)[7]\nNovell NetWare\nSYS:etc\\hosts\nOS/2 & eComStation\n""bootdrive"":\\mptn\\etc\\\nSymbian']",%SystemRoot%\System32\drivers\etc\hosts
133,who did shakespeare write his play hamlet for,"Shakespeare wrote the role of Hamlet for Richard Burbage, the chief tragedian of the Lord Chamberlain's Men.","[""Shakespeare almost certainly wrote the role of Hamlet for Richard Burbage. He was the chief tragedian of the Lord Chamberlain's Men, with a capacious memory for lines and a wide emotional range.[136][137][p] Judging by the number of reprints, Hamlet appears to have been Shakespeare's fourth most popular play during his lifetime—only Henry IV Part 1, Richard III and Pericles eclipsed it.[2] Shakespeare provides no clear indication of when his play is set; however, as Elizabethan actors performed at the Globe in contemporary dress on minimal sets, this would not have affected the staging.[141]"", ""The story of Shakespeare's Hamlet was derived from the legend of Amleth, preserved by 13th-century chronicler Saxo Grammaticus in his Gesta Danorum, as subsequently retold by the 16th-century scholar François de Belleforest. Shakespeare may also have drawn on an earlier Elizabethan play known today as the Ur-Hamlet, though some scholars believe he himself wrote the Ur-Hamlet, later revising it to create the version of Hamlet we now have. He almost certainly wrote his version of the title role for his fellow actor, Richard Burbage, the leading tragedian of Shakespeare's time""]","almost certainly wrote his version of the title role for his fellow actor, Richard Burbage"
