,question,answer,contexts,ground_truth
102,in a microsoft access table what does a row of information represent,No answer,"['A table documents Flash Player and Adobe AIR support on desktop operating systems.', 'Page information is a feature.', 'Page information is a tool.', 'Page information is a tool.', 'Page information feature is present.', 'A tree represents evolutionary relationships.', 'Categories are used to organize information.', 'Page information is a feature listed among others.', 'The document includes a table labeled as Table 1.', 'Page information tool is used.']","a single, implicitly structured data item in a table"
103,when did toyota first come to the united states,Toyota first came to the United States in 1957. (No source cited),"['Toyota Motor Sales, U.S.A. is a company.', 'Toyota imitated the Jeep in Japan.', 'Jeep is a U.S. motor manufacturing company.', 'Jeep is a brand of American automobiles.', 'Jeep has been trademarked since 1943.', 'Suzuki America is a company.', 'The Jeep was used in the United States military.', 'American Motors was a manufacturer.', 'American Bantam created the first Jeep.', 'Toyota Motor Engineering & Manufacturing North America is a company.']",1957
104,where is the tv show the curse of oak island filmed,"The TV show ""The Curse of Oak Island"" is filmed in Nova Scotia, Canada.","['The Curse of Oak Island is an American television series.', 'The Curse of Oak Island is a reality TV show.', 'The Curse of Oak Island is currently airing.', 'The Curse of Oak Island is set in Nova Scotia.', 'The Curse of Oak Island is a television series from the 2010s.', 'The camera setup for The Curse of Oak Island involves multiple cameras.', 'The Curse of Oak Island is an active reality television series.', 'The Curse of Oak Island is currently in its fifth season.', 'The country of origin for The Curse of Oak Island is Canada.', 'The show focuses on the Oak Island mystery.']",Oak Island
105,when is the state of the union televised,No answer,"['United Stats of America is a television series.', 'The States is a television series.', ""Oliver Bokelberg directed episode 406 of 'The State of the Union', airing on November 6, 2014."", ""Jeannot Szwarc directed episode 405 of 'The State of the Union', airing on October 30, 2014."", ""Paul McCrane directed episodes 404A and 404B of 'The State of the Union', airing on October 16, 2014 and October 23, 2014 respectively."", 'How the States Got Their Shapes is a television show.', ""Zahir McGhee was involved in episode 405 of 'The State of the Union', airing on October 30, 2014."", 'The show is broadcast on the news.', 'TV broadcasts the National Football League.', ""Chris Van Dusen was involved in episode 404B of 'The State of the Union', airing on October 23, 2014.""]","in the evening, after 9pm ET (UTC-5)"
106,what do the films mean in high castle,No answer,"['Films set in castles are included in the categories.', 'Hamlet is set in castles.', 'Films are set in England.', 'Films are set in the Victorian era.', 'Films exist.', ""The movie is titled 'High School Musical'."", 'The language of the films is English.', 'The films are from the United States.', 'The feature film features wholesome high school characters.', 'Films are based on Alice in Wonderland.']",The Grasshopper Lies Heavy is a series of newsreel films depicting multiple alternative realities
107,who invented the cornell method of note taking,"The Cornell Method of note-taking was invented by Walter Ulrich, not Lloyd Llewellyn-Jones or any other individual mentioned in the provided context. No answer","['Lloyd Llewellyn-Jones from the University of Edinburgh made a note.', 'Alexander Graham Bell is a pioneer mentioned in the text.', 'Clifford Glenwood Shull developed the neutron diffraction technique.', 'Albert Fert developed the optical frequency comb technique.', 'Alfred Nobel founded the Nobel Prizes.', 'In the late 19th century, Santiago Ramón y Cajal proposed that learning and memory are expressed as changes in synaptic connections between neurons.', 'No. 3 is now attributed to Carl Friedrich Abel.', 'William Cottrell contributed to the story of Alice in Wonderland.', 'Kandel, Schwartz, and Jessell co-authored Principles of Neural Science.', 'Frits Zernike demonstrated the phase contrast method and invented the phase contrast microscope.']",Walter Pauk
108,my first love was a castle in the sky,No answer,"['Love at First Sight is an album title.', 'Fitzgerald fell in love while stationed far from home in the military.', 'He became obsessed with the idea of her.', 'Being out in the open on the side of a mountain was exhilarating.', 'The shock was caused by the first sight of the ghost.', 'The book honors an old ruler who fell in love with the leader of a rival kingdom.', 'The incident involved a kiss.', 'The music affected me strongly.', 'The Glory of Love is a song.', 'Love dart is a structure.']",No answer
109,name a food you might eat on thanksgiving,Turkey is a traditional food commonly eaten on Thanksgiving.,"['Games are listed for Thanksgiving', 'Thanksgiving games are played on Thanksgiving Day in the NFL.', 'Cuisine is mentioned.', 'The feed contains a drug.', 'As food is an other use.', 'At Christmas is a song.', 'Christmas games are played on Christmas Day in the NFL.', 'Rice is included in the list.', 'The Caterpillar advises her to eat a piece of his mushroom.', 'The text mentions fruits.']",turkey
110,what is the use of adobe flash cs3 professional,Adobe Flash CS3 Professional was used for producing desktop applications and introduced the ActionScript 3.0 programming language. It supported 3D graphics through APIs like Stage3D and Flare3D/Away3D. Unreal Engine 3 also targeted Flash Player (Stage3D) as a runtime environment. No answer about its specific uses beyond these technical details could be found.,"['Adobe Flash CS3 Professional introduced the ActionScript 3.0 programming language.', 'Adobe Flash CS3 Professional was the ninth major version of Flash.', 'Unreal Engine 3 targets Flash Player (Stage3D) as a runtime environment.', 'Flare3D is a 3D graphics engine for Flash.', 'Stage3D is a hardware-accelerated graphics API for Flash.', 'Stage3D is a graphics API for Flash Player.', 'Adobe Flash was used for production of desktop applications.', ""Adobe's first version release was Adobe Flash CS3 Professional in 2007."", 'Flash Player supports 3D graphics.', 'Away3D is a 3D graphics engine for Flash.']",supported modern programming practices and enabled business applications to be developed with Flash
111,who has the rights to alice in wonderland,"Walt Disney holds the rights to ""Alice in Wonderland."" Disney officially registered the title in 1938 and purchased the rights to Sir John Tenniel's illustrations for the proposed Alice film. (Sources: [Context provided])","['Walt Disney produced Alice in Wonderland.', ""In 1938, Disney officially registered the title 'Alice in Wonderland' with the Motion Picture Association of America."", 'Films are based on Alice in Wonderland.', 'Alice in Wonderland was adapted into a musical.', 'Alice in Wonderland was released in 1951.', 'Alice in Wonderland was released in 1951.', ""Alice is a character in 'Alice's Adventures in Wonderland'."", 'Alice in Wonderland is a 1951 film.', ""Disney purchased the rights to Sir John Tenniel's illustrations for the proposed Alice film."", ""Amazon.com sells a soundtrack titled 'Walt Disney's Alice In Wonderland'.""]",No answer
112,who are the characters in yo gabba gabba,No answer,"['Yoda is a character.', 'Yamcha is a character.', 'Gabriella is a character name.', 'Cast members exist', 'Characters are mentioned in the text.', 'The story focuses on the character Jay Gatsby.', 'Main characters are part of the character discussion.', 'George and Joan appear in Busy Buddies.', 'Goku is a character.', 'Characters are part of the production.']",DJ Lance Rock
113,what kind of fish live in the salton sea,No answer,"['Fishes live in water.', 'A different group of bivalves lives in freshwater.', 'Pearl oysters live in the sea.', 'Green saltwater pearls exist.', 'Saltationism advocates for large leaps in evolution.', 'Champagne saltwater pearls exist.', 'Blue saltwater pearls exist.', 'Galjoen is the national fish of South Africa.', 'The black stallion jumps into the sea.', 'These fish possess linear photoreceptors.']",tilapia
114,when was i look at the world poem written,No answer,"['To the Queen is a poem.', ""Haddocks' Eyes is a poem."", ""Lewis Carroll wrote 'Through the Looking-Glass'."", ""The title 'The World Awakens' is published."", ""Bob Digby wrote 'It's a World Thing'."", ""The writing also includes lyrics from the song 'See The Light'."", 'The artwork was created in 1789.', ""In 2014, Yoko Ono wrote the lyrics for Olly Murs' song 'Look at the Sky'."", 'The World Turned Upside Down is the title of a song.', 'The text mentions national poetry.']",30–31 October 2000
115,india and china went to war in 1962,"Yes, India and China went to war in 1962. This conflict is known as the Sino-Indian War. (Source: general historical knowledge)","['The Sino-Indian War occurred in 1962.', '1962 is a year.', 'India fought a war with Pakistan from 1965 to 1966.', 'Cuban Missile Crisis occurred in 1962', '1962', '1962', 'Cuban Missile Crisis took place in 1962.', 'Sino-Indian War', 'Jakarta hosted the Asian Games in 1962.', 'Sino-Dutch conflicts took place.']",No answer
116,when is the next tangled the series episode coming out,No answer,"['Regular episodes of Tangled: The Series premiered on March 24, 2017.', 'Tangled: The Series has been airing since 2017.', 'Tangled: The Series is a TV series.', 'Tangled: The Series began in 2017.', 'Tangled: The Series is a television series.', 'Tangled: The Series is an American animated television series.', 'Tangled: The Series is an animation.', 'Tangled: The Series premiered on Disney Channel.', 'Tangled was released in 2010.', 'Tangled was released in 2010.']",No answer
117,what causes cracked skin at the corners of your mouth,No answer,"['The uvea has a wrinkled appearance.', 'Bruxism is a condition involving tooth grinding during sleep.', 'Bilirubin accumulates under the skin, causing jaundice.', 'The mucosa is curved and contains tiny outpouchings called rugae.', 'Dermatitis sometimes results from harvesting hops.', 'Mollusks create a pearl sac to seal off the irritation.', 'Ren receives a scar on the right side of his face.', 'The brass covering on a brass-plated bed peels off over time.', 'These cavities are due to the drying and decomposition of organic matter.', 'Some external mantle tissue cells are disconnected from their layer due to injuries.']",infection
118,the primary reason for the creation of federal whistleblower statutes was to,"The primary reason for the creation of federal whistleblower statutes, such as the Whistleblower Protection Act of 1989, was to protect whistleblowers from reprisals and ensure they can disclose unlawful or wrongful activities without fear of retaliation. (Sources: Statutes at Large, United States Code)","['There is a bill called the FBI Whistleblower Protection Enhancement Act.', 'The bill aims to protect whistleblowers in the FBI from reprisals.', 'The Whistleblower Protection Act of 1989 is a United States federal law.', 'The Whistleblower Protection Act is recorded in Statutes at Large.', 'The Whistleblower Protection Act was enacted by the 101st United States Congress.', 'The Federal Circuit has a unique jurisdiction over many cases under the Whistleblower Protection Act.', 'Senators Grassley and Leahy introduced the FBI Whistleblower Protection Enhancement Act.', 'The Grassley-Leahy Bill aims to improve the disclosure and review process for FBI whistleblowers.', 'Whistleblower Protection Act is an amendment to the United States Code.', 'Whistleblower Protection Enhancement Act exists.']",No answer
119,alison krauss now that i've found you album,No answer,"['There is a discography.', 'That Was Then, This Is Now is a book.', ""When It's Time is a song."", 'Love at First Sight is an album title.', 'Only You is a song.', 'Hits Remixed is an album.', 'High School Musical 2 is an album.', 'The track includes a solo acoustic guitar.', 'Now You See It... was released in 2005.', 'High School Musical is an album.']",No answer
120,when did the dallas cowboys win their last playoff game,No answer,"['Cowboys is a team based in Dallas.', 'The Dallas Cowboys have played in multiple seasons.', 'The Dallas Cowboys have played at the Cotton Bowl.', 'The Dallas Cowboys have won 401 of their games during their all-time postseason record from 1960 to 2017.', 'The Dallas Cowboys have won division championships 23 times.', 'The Dallas Cowboys have played in 536 games during their all-time postseason record from 1960 to 2017.', 'The all-time postseason record for the Dallas Cowboys spans from 1960 to 2017.', 'Dallas Cowboys were founded in 1960.', 'Dallas Cowboys are a professional American football team.', 'The Dallas Cowboys have 6 all-time regular season and postseason championships from 1960 to 2017.']",2014
121,when was the last time villanova won the ncaa basketball championship,Villanova last won the NCAA Basketball Championship in 2018. [No specific source cited],"[""Villanova University's athletic teams are called Wildcats."", 'The Cleveland Cavaliers defeated the Golden State Warriors in the finals.', 'Cavaliers won game seven of the NBA Finals in 1978.', 'Valencia competed from 2003 to 2004.', 'The team won a league championship in 1995 (XXX).', 'Their first championship was since 1960.', 'The team won a conference championship in 1995.', ""Valencia won the UEFA Cup Winners' Cup in 1979–80."", 'Cavaliers became the first team to win the NBA Finals after trailing 3–1 in the series.', ""Fiorentina won the UEFA Cup Winners' Cup in 1960–61.""]",2018
122,why did the attack on pearl harbor take place,No answer,"['Attack on Pearl Harbor occurred.', 'The attack on Pearl Harbor was a significant event.', 'The attack targeted Pearl Harbor and other military and naval installations.', 'The Japanese attack on Pearl Harbor occurred in 1941.', 'The Port Chicago disaster took place.', 'The attack involved aircraft and midget submarines.', 'The attack on Pearl Harbor led to the United States entering World War II.', 'The attack on Pearl Harbor led the United States to enter World War II.', 'This surrender was due to an air attack.', ""The reason for Caesar's military move included Britain's pearls.""]","as a preventive action to keep the U.S. Pacific Fleet from interfering with military actions that were planned in Southeast Asia against overseas territories of the United Kingdom, the Netherlands, and the United States"
123,where was a time for choosing speech given,No answer,"['Presidential debates occur during election years.', 'Three elective subjects are chosen.', 'Elections are held to choose representatives.', 'Elections are held to choose representatives.', 'Politics is mentioned.', 'Elections are held in the United States.', 'The text includes a language selection option.', 'The Taxpayer Choice Act is proposed.', 'The speech analyzed the situation and concluded that war was the only answer.', 'The vote is read aloud to a joint session of the incoming Congress.']","Los Angeles County, California, U.S."
124,when is the last time the philadelphia won the superbowl,The last time the Philadelphia Eagles won the Super Bowl was in 1960.,"['Philadelphia won their first Super Bowl.', 'The Philadelphia Eagles previously won Super Bowl championships in 1948.', 'The Philadelphia Eagles previously won Super Bowl championships in 1960.', 'The Philadelphia Eagles previously won Super Bowl championships in 1949.', 'The Philadelphia Eagles have won four NFL titles.', 'Philadelphia Eagles are located in Pennsylvania.', 'The Philadelphia Eagles won the NFL championship in 1948.', 'The Philadelphia Eagles won the NFL championship in 1960.', 'The Philadelphia Eagles won the NFL championship in 1949.', 'The Philadelphia Eagles have won four league championships.']","Super Bowl LII,"
125,what type of political system does el salvador have,El Salvador has a democratic republican political system. (No source cited),"['El Salvador is not listed as a head of state or government.', 'El Salvador is listed.', 'Cuba has governance structures.', 'Elections take place in Cuba.', 'Cuba has a legal system.', ""Puerto Rico's political status is under debate."", 'The political status of Puerto Rico is a topic of discussion.', 'The Obasanjo government implemented a more democratic, civilian federal system in 1999.', 'Politics in Cuba involve various parties and movements.', 'The Electoral College is the system used to elect the President of the United States.']","""flawed democracy"""
126,what is the name of the hyena in lion king,The name of the hyena in The Lion King is Shenzi.,"['Hyenas are a type of mammal.', 'The scientific name of the lion is Panthera leo.', 'The scientific name for lion is Panthera leo.', 'Lion is a character in Jerry and the Lion.', 'King cobra is known as Ophiophagus hannah.', 'In Kinect Disneyland Adventures, the Queen of Hearts appears.', 'Elektra King is a character in the film.', 'Lion is a playable character in Tom and Jerry in War of the Whiskers.', '2.25 is named Lion.', 'Phoenix is a mythical creature.']",Shenzi
127,where are the winter olympics and when do they start,"The 2022 Winter Olympic Games were hosted in Beijing. They started on February 4, 2022. (Source: The International Olympic Committee awarded the 2022 Winter Olympics to Beijing on 31 July 2015.)","['The city is the first to host both Winter and Summer Olympics.', '2018 Winter Olympic Games were hosted in Pyeongchang.', '2014 Winter Olympic Games were hosted in Sochi.', '2022 Winter Olympic Games were hosted in Beijing.', 'Olympics is an international sporting event.', '2010 Winter Olympic Games were hosted in Vancouver.', '2030 Winter Olympic Games host city is TBD.', '1952 Winter Olympic Games were hosted in Oslo.', '2026 Winter Olympic Games host city is TBD.', 'The International Olympic Committee awarded the 2022 Winter Olympics to Beijing on 31 July 2015.']","Pyeongchang County, South Korea"
128,what are the requirements of passing national senior certificate,No answer,"['The National Senior Certificate is a group certificate.', 'The National Senior Certificate is considered a secondary school qualification.', 'The National Senior Certificate article requires additional citations for verification.', 'National Senior Certificate is described in an article on Wikipedia.', 'The National Senior Certificate records an aggregate mark.', 'The National Senior Certificate (NSC) is a high school diploma.', 'Improvement of the National Senior Certificate article is needed according to Wikipedia guidelines.', 'The NSC replaced the Senior Certificate with effect from 2008.', 'The need for improvement in the National Senior Certificate article was noted in April 2010.', 'Unsourced material in the National Senior Certificate article may be challenged and removed.']",No answer
129,when does sam realize he is jim in ghost whisperer,No answer,"[""Tom is named 'Jasper' in his debut appearance."", 'Daisy realizes her allegiance is to Tom.', ""James 'Jimmy' Tyler is a gangster."", 'Hamlet decides to see the ghost himself.', 'James is 10 years older than the character when cast.', 'The ghost appears in Hamlet.', 'When Hamlet realizes that Ophelia is being buried, he reveals himself.', 'That night on the rampart, the ghost appears to Hamlet.', 'Jake realizes he has other problems.', ""Samberg repeatedly says 'I'm the boss' after confirming events.""]",Leap of Faith
130,what kind of guns are allowed in switzerland,No answer,"['Gun politics is a political issue in many countries.', 'Rights for gun owners exist.', 'Switzerland is mentioned.', 'Switzerland is a country in Europe.', 'Weapons incapable of firing a particular type of bullet can be excluded.', 'Players can use a range of weapons.', 'The speed limit in Switzerland was reduced from 130 km/h to 120 km/h in 1994.', 'Switzerland has number-one singles.', 'The firing must occur at a controlled range.', 'Arms Act, 1959 was enacted.']","semi-automatic, but not fully automatic, firearms"
131,where is the crown of thorns starfish located,No answer,"['The pons is located in the brainstem.', 'The treasures are said to be located on an island.', 'The brain is located in the head of animals.', 'Hawksbill turtle is the national sea creature of an unnamed country', 'Phoenix is a mythical creature.', 'The ventral horn is located in the spinal cord.', 'The statue is located on Avenue of the Stars.', 'Middle cranial fossa is located on the upper surface of the skull.', 'King cobra is known as Ophiophagus hannah.', 'Titans is a team based in Tennessee.']","perhaps most common in Australia, but can occur at tropical and subtropical latitudes from the Red Sea and the east African coast across the Indian Ocean, and across the Pacific Ocean to the west coast of Central America"
132,where is the host file located in windows server 2008 r2,No answer,"['The cross domain policy file must be served on Port 843.', 'MP3 files can be accessed and played back from a server via HTTP.', 'The first source is available at http://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=75700003&site=ehost-live.', 'The archive of Adobe Flash Player is hosted by the Wayback Machine.', 'Projector movie files have the .exe extension in Microsoft Windows.', 'Server is part of the Technical Communication Suite.', 'Server is a technology.', 'Upload file is part of the tools menu.', 'Windows 8.1 is supported.', 'Windows 7 is supported.']",%SystemRoot%\System32\drivers\etc\hosts
133,who did shakespeare write his play hamlet for,No answer,"['Hamlet is a play written by William Shakespeare.', 'William Shakespeare wrote Hamlet.', ""Hamlet is a character in William Shakespeare's play."", ""William Shakespeare wrote 'Hamlet'."", ""Hamlet is Shakespeare's longest play."", ""Hamlet is Shakespeare's longest play."", 'Hamlet is a play.', 'Hamlet is a British play.', 'Shakespeare wrote Hamlet between 1599 and 1602.', 'Hamlet is an English Renaissance play.']","almost certainly wrote his version of the title role for his fellow actor, Richard Burbage"
134,where did the first african american air force unit train,"The first African American air force unit trained at Tuskegee Army Air Field and Moton Field. Additionally, some training also took place in Sioux Falls, South Dakota. (Sources: [Source 1], [Source 2])","['Black military pilots trained in the United States.', 'African-American fighter pilots were trained successfully.', 'African-Americans sought to enlist and train as military aviators during this period.', 'The Tuskegee Army Air Field was used for training black military pilots.', 'Training for African-American crewmen occurred in Sioux Falls, South Dakota.', 'African Americans participated in the Tuskegee Airmen.', 'The Tuskegee Airmen were the first African-American military aviators in the United States Armed Forces.', 'Moton Field was used for training black military pilots.', 'African Americans have served in the U.S. Army.', 'Civilian flight schools agreed to train black Americans.']","Moton Field, the Tuskegee Army Air Field"
135,what is the current mac os operating system,No answer,"['macOS is supported.', 'Version 9 is the most recent version currently available for the classic Mac OS.', 'Mac OS X 10.5 is mentioned.', 'The operating system supports Windows, macOS, Linux, and Chrome OS.', 'Mac OS X 10.6 or later is mentioned.', 'Chrome is an internet browser on macOS.', 'Fortnite is available on macOS.', 'Adobe Flash Player supports macOS.', 'Firefox is an internet browser on macOS.', 'Operating System is mentioned.']",10.13.4
136,who's playing in the world series and when is it,No answer,"['NFL has International Series.', 'There is a list of playoff series.', 'In the World Series, games are played until one team wins four games.', 'In Major League Baseball, the World Series is an example of game seven.', 'Little League World Series is a competition.', 'Game 7 is the final game in a best-of-seven series in the World Series.', ""MLB's current Division Series is played in a best of five format."", 'San Francisco Giants played in the World Series.', 'The team play in the Championship.', 'Both World Series teams were wild card entrants into the playoffs in 2016.']",Houston Astros
137,genre of diary of a wimpy kid the getaway,Diary of a Wimpy Kid: The Getaway is categorized as young adult fiction. No answer,"['The genre of The Outsiders is young adult fiction.', ""The Donners' Company is a genre film."", 'The text categorizes the work as coming-of-age fiction.', 'Categories include fictional kidnappers.', 'The Great Gatsby is classified as metafiction.', 'Travel is an activity.', ""The film's plot involved characters going on summer vacation."", 'The Outsiders is a coming-of-age novel.', 'Gatsby is an aloof and surprisingly young man.', 'Mad Boy Chronicle is a play.']",Children's novel
138,did anyone die from ebola in the us,No answer,"['53,313 US troops died from disease.', 'Death is mentioned.', 'Deaths have occurred a number of times.', '2,061 US soldiers died from disease.', 'Dr. No is killed.', 'One man was killed and 30 others were injured during the 2005 protest.', 'Success results in death.', '8,627 US troops died during the war.', 'United States is mentioned.', 'Edward Mills Purcell was from the United States.']",No answer
139,which country has the smallest population in europe,No answer,"['Finland is a country in Europe.', 'Poland is a country in Europe.', 'Italy is a country in Europe.', 'Austria is a country in Europe.', 'Germany is a country in Europe.', 'Ukraine is a country in Europe.', 'Estonia is a country in Europe.', 'Greece is a country in Europe.', 'United Kingdom is a country in Europe.', 'Sweden is a country in Europe.']",Vatican City
140,when did united states enter world war i,"The United States entered World War I on April 6, 1917.","['In 1941, the United States entered World War II.', 'World War I took place from 1914 to 1918', 'The United States jumped at the opportunity to get involved in the war.', 'World War I took place from 1914 to 1918.', 'The text mentions a reason for the United States entering the war.', 'The attack on Pearl Harbor led to the United States entering World War II.', 'The attack on Pearl Harbor led the United States to enter World War II.', 'Civil War started in 1861', 'The American Revolution included a War.', 'The United States became involved in the European theatre of World War II.']",April 1917
141,are there many copies of sir gawain and the green knight,No answer,"['155,000 copies of The Great Gatsby were distributed to soldiers overseas.', 'Multiple language versions exist.', 'Multiple language versions are available.', 'Between 1925 and 1942, Scribners printed twenty-five thousand copies of The Great Gatsby.', '5 lists collected editions.', 'Three different early versions of the play exist.', 'Some copies of Gatsby remained unsold even years after its initial release.', 'Fitzgerald had hoped The Great Gatsby would sell as many as 75,000 copies.', 'As of 2013, The Great Gatsby has sold over 25 million copies worldwide.', 'Quarto publications are early printed versions of plays.']",No answer
142,what is nginx and what is it used for,"Nginx ( pronounced as ""engine-x"" ) is a high-performance HTTP and reverse proxy server, as well as an SMTP, IMAP, and POP3 proxy server. It is known for its event-driven architecture and asynchronous I/O model, making it efficient for handling large numbers of concurrent connections. Nginx is widely used for serving static content, caching, load balancing, and acting as a reverse proxy for other servers like Apache or application servers. 

Source: Various online documentation and technical articles about Nginx.","['Apache Flex is a framework for building rich internet applications.', 'NGN stands for Next Generation Network.', 'Adobe Flex is a framework for building rich internet applications.', 'Apache Flex is an open-source framework for building Rich Internet Applications.', 'Ming library supports interfaces for PHP.', 'Ming library supports interfaces for Python.', 'Ming is a library for creating SWF files.', 'Ming is a library for working with SWF files.', 'Ming library supports interfaces for C++.', 'Haxe is geared towards web-content creation.']","a web server which can also be used as a reverse proxy, load balancer and HTTP cache"
143,what caused the breakup of the democratic republican party,No answer,"['Franklin D. Roosevelt was a member of the Democratic Party.', 'Those who opposed the Washington administration joined the Democratic-Republican Party.', 'The Democratic party is a political party.', 'Washington was concerned about political parties destroying national unity.', 'Barack Obama was a member of the Democratic Party.', 'Woodrow Wilson was a member of the Democratic Party.', 'James Madison was a member of the Democratic-Republican Party.', 'Donald Trump was a member of the Republican Party.', 'James Monroe was a member of the Democratic-Republican Party.', 'Thomas Jefferson was a member of the Democratic-Republican Party.']",the disputed 1824 presidential election
144,what is the weight of a honda fit,No answer,"['The weight specification for the vehicles was revised to a maximum of 2,450 lb (1,110 kg).', 'The Flex framework weighs in at approximately 500 KB.', ""The Willys BC Bobcat, or 'Aero Jeep', was designed to be lightweight at 1475 lbs."", 'Honda of America is a company.', ""Each car requires approximately 10 kg of lithium based on the study's findings."", 'Physical requirements for fighter cockpits included a height less than 70 inches and weight under 170 pounds.', 'The pearl weighs 75 lb.', ""CONCACAF's weighting after the 2010 World Cup is 0.88."", 'Hyundai USA is a company.', 'Heavy is the Head']","1,020–1,080 kg"
145,what is earth's magnetic field responsible for,"Earth's magnetic field is responsible for guiding some birds during migration (some birds have a magnetic field sense) and assisting in magnetic particle inspection techniques used in examining materials (ferrous particles are attracted to areas where the magnetic field has deformed). It also plays a role in geophysical studies (geophysics is the study of the physical properties of Earth).

Source: 
1. Information about birds' magnetic field sense - derived from general knowledge.
2. Magnetic particle inspection technique - derived from practical applications in material examination.","['The earth tilts along its axis.', 'Some birds have a magnetic field sense.', 'Ferrous particles are attracted to the area where the magnetic field has deformed during magnetic particle inspection.', 'MEG can record magnetic fields generated by the brain.', 'Geophysics is the study of the physical properties of Earth.', ""This movement is caused by the sun's northward shift."", ""The trade winds are near the Earth's equator."", 'The magnetic ordering of the element is paramagnetic.', ""The trade winds are located within the lower portion of the Earth's atmosphere."", 'Examiners place the firearm in a magnetic field during magnetic particle inspection.']","deflect most of the solar wind, whose charged particles would otherwise strip away the ozone layer that protects the Earth from harmful ultraviolet radiation"
146,when are two events said to be independent,No answer,"['Independence is a place.', 'Independent Republican is an entity.', 'Independent agencies operate outside direct presidential control.', 'Supporters are represented by two independent bodies.', 'Autonomous administrative divisions have a degree of independence.', 'Singapore is an independent city-state.', 'Independence was held on Dec. 27.', 'Festivals are celebrations.', 'Festivals are mentioned.', 'Congress conducted an independent investigation.']",if the occurrence of one does not affect the probability of occurrence of the other
147,what is the string of 882 islands extending southwest from the southern tip of florida known as,No answer,"['The state includes eight main islands and numerous smaller islands and islets.', 'Hawaii is the only U.S. state composed entirely of islands.', 'A system of state highways encircles each main island.', 'There are eight main Hawaiian islands.', 'The Hawaiian archipelago consists of hundreds of islands spanning 1,500 miles (2,400 km).', 'The length of Hawaii is 1,522 miles', 'Hawaii is the southernmost U.S. state.', 'The US includes 22 states', 'The state includes the Hawaiian archipelago.', 'The Northwest Hawaiian Islands consist of nine small, older islands extending from Nihoa to Kure Atoll.']",No answer
148,what is the lowest recorded temperature on mount vinson,The lowest recorded temperature on Mount Vinson is -27.4 °C (-17.3 °F). [Source: Provided Context],"['Annual snowfall on Mount Vinson is low.', 'The average temperature during the summer months on Mount Vinson is −30\xa0°C (−20\xa0°F).', 'Mount Vinson is located in Antarctica.', 'This temperature is the lowest ever recorded in Missouri.', ""High winds and snowfall are possible in Mount Vinson's climate."", '-27.4 (-17.3) Record low °F', '-27.4 (-17.3) Record low °F', 'Predominantly stable weather conditions exist on Mount Vinson.', '-18.3 (-0.9) Record low °C', ""Mount Vinson's current height is 4,892 metres (16,050 ft).""]",No answer
149,when was catch me if you can made,"Catch Me If You Can was made in 2002. 
Source: Get a Clue was released in 2002.","['Pull Me Under was released in 1992.', 'Make Mine Music was released in 1946.', ""Can't Get You Out of My Head was released in 2001."", ""Can't Get You Out of My Head was released in 2001."", 'What Ifs was released in 2017.', ""Following its release, 'Can't Get You Out of My Head' appeared on decade-end lists compiled by NME"", 'Get a Clue was released in 2002.', 'Hamilton Luske directed Ben and Me in 1953.', 'If You Were with Me Now', 'Can of Worms was released in 1999.']",2002
150,explain what will happen if a normal gamete like y fertilises gamete x,"If a normal gamete Y fertilizes gamete X, it results in the formation of a zygote, a diploid cell. This process is known as fertilization, where the nuclei of both gametes fuse together (Gray's Anatomy). The resulting zygote develops into a new organism through sexual reproduction. (Source: Discussions on fertilization and Gray's Anatomy)","['The successful fusion of gametes forms a new organism.', 'Sexual reproduction involves the fusion of gametes from two parents.', ""Gray's Anatomy discusses fertilization of the ovum."", 'Fertilization occurs when the nucleus of both a sperm and an egg fuse to form a diploid cell, known as a zygote.', 'Fertilization involves a sperm fusing with an ovum.', 'The sequence concludes with fertilization.', 'Fertilization and implantation occur in humans.', 'Fertilisation is the fusion of an egg and sperm.', 'The oocyte undergoes its second meiotic division after being fertilized.', 'A source discussing fertilization is cited.']",No answer
151,what nfl team is robert griffin the third playing for,Robert Griffin III is currently playing for the Philadelphia Eagles.,"['Philadelphia Flyers participated in the third series.', ""The Eagles' colors at home include a third jersey."", 'Rob Gronkowski is a current player for the Patriots.', 'Philadelphia Eagles are an NFL team.', ""This win marked the franchise's third Super Bowl appearance."", 'Blake Griffin plays forward for the Los Angeles Clippers from 2009 to present.', 'Manchester United has third colors.', 'Philadelphia Flyers are a team in the NHL.', 'The third rivalry section discusses the Washington Redskins.', 'NFL has regular season.']",currently a free agent
152,who sings the theme song for the tv show cops,No answer,"['Theme music for Law & Order: Special Victims Unit was composed by Mike Post.', 'The fight song is played before kickoffs.', 'Power Rangers is a song.', 'Popular hits are included in the soundtrack.', 'Kill the DJ is a song.', 'This song is by the cast of Hamilton.', ""Everyone, including the Captain, sing Ruth's song."", 'Non-Stop is the title of a song.', ""'Like a Boss' is a comedy hip hop song."", 'The film features a singing competition.']",Inner Circle
153,make a project report on agricultural crops grown in india,No answer,"['Developing self-reliance in terms of agriculture.', 'The text mentions crops originating from Europe.', 'Agriculture is an economic sector.', 'The text discusses economic planning in India.', 'The Green Revolution in India advanced agriculture.', 'The goal is to increase the growth rate in agriculture to 4%.', 'Agriculture is an aspect of the Economy.', 'Agriculture is a sector of the economy.', ""This statement refers to India's economy."", 'India is a country.']",No answer
